request_id,zone_id,event_time,ingest_time,final_fare,surge_multiplier,weather
914d07e3-cdaf-4808-bf35-6c868fb50fac,Airport,2026-03-01 00:00:12,2026-03-01 00:00:12,18.0,1.3,rain
6ce780d4-c322-4ded-951b-63b737ed88b5,Midtown,2026-03-01 00:00:11,2026-03-01 00:00:45,23.38,1.0,clear
c9bd0e0d-7e7a-46b5-a54a-03fe6517f019,Airport,2026-03-01 00:01:50,2026-03-01 00:01:51,12.82,1.3,rain
14347813-0457-48e8-86fe-2d1327927f38,Midtown,2026-03-01 00:02:22,2026-03-01 00:02:50,18.09,1.0,clear
2eb95076-f15a-402a-be93-b04644c220a7,UofT,2026-03-01 00:02:11,2026-03-01 00:04:23,12.82,1.3,rain
c82276f5-c134-414d-a124-2ad6417d068c,Waterfront,2026-03-01 00:05:20,2026-03-01 00:05:38,10.11,1.0,clear
814de209-02c4-46a9-a01e-263c70d77674,Midtown,2026-03-01 00:05:50,2026-03-01 00:05:59,38.08,1.6,snow
e41d099d-a52d-4df4-929e-d649c5cf1607,NorthYork,2026-03-01 00:07:05,2026-03-01 00:07:45,26.61,1.6,snow
2cf022bf-c83b-49a3-9b81-c67868e765cc,NorthYork,2026-03-01 00:07:02,2026-03-01 00:07:55,10.0,1.0,clear
fd12f7f2-f1b3-4ff1-a320-0effac3fcf24,NorthYork,2026-03-01 00:08:58,2026-03-01 00:09:54,36.52,1.6,snow
023f1081-4e6f-4c78-a8bc-2ffe5e26b943,Waterfront,2026-03-01 00:07:51,2026-03-01 00:10:32,19.84,1.0,clear
c82f3f0d-1718-4b28-8101-17908ebfc635,Waterfront,2026-03-01 00:10:57,2026-03-01 00:10:58,23.75,1.0,clear
01ea8234-5d04-4c44-8092-c15483b096ac,Scarborough,2026-03-01 00:11:26,2026-03-01 00:11:37,22.48,1.3,rain
9e6068bb-f973-4727-92a2-51f4b5e13ae0,Airport,2026-03-01 00:11:37,2026-03-01 00:11:50,10.09,1.0,clear
75e637d3-9f7c-4df8-bc82-3c117fa2fa6d,Scarborough,2026-03-01 00:12:41,2026-03-01 00:12:49,12.85,1.3,rain
24c3bad2-5044-4119-8724-718d98964541,Airport,2026-03-01 00:03:41,2026-03-01 00:12:58,31.48,1.6,snow
